Country,WHO Region,GDP_per_capita_2022,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,7994.64806074889,994052,10520,NA,NA,NA,7118,75,NA,NA,NA
China,Western Pacific,12662.5826712038,99381761,6755,0,NA,0,122398,8,0,NA,0
French Guiana,NA,NA,98041,32825,NA,NA,NA,413,138,NA,NA,NA
Latvia,Europe,20229.4613617326,977775,51255,NA,NA,NA,7599,398,NA,NA,NA
Saint Vincent and the Grenadines,Americas,9471.14627317673,9674,8720,NA,NA,NA,124,112,NA,NA,NA
Guinea-Bissau,Africa,853.281304044102,9614,489,NA,NA,NA,177,9,NA,NA,NA
Niger,Africa,609.745147574878,9564,40,NA,NA,NA,315,1,NA,NA,NA
Comoros,Africa,1489.49566257969,9109,1047,NA,NA,NA,160,18,NA,NA,NA
Antigua and Barbuda,Americas,20117.7653310355,9106,9299,NA,NA,NA,146,149,NA,NA,NA
Senegal,Africa,1564.74522071584,89372,534,1,NA,1,1972,12,NA,NA,NA
Malawi,Africa,604.269751184515,89168,466,NA,NA,NA,2686,14,NA,NA,NA
Kyrgyzstan,Europe,1739.72030814894,88953,1363,NA,NA,NA,1024,16,NA,NA,NA
C�te d'Ivoire,Africa,NA,88486,335,2,NA,2,835,3,NA,NA,NA
Netherlands (Kingdom of the),Europe,59123.318556487,8650554,49694,33,NA,33,22986,132,NA,NA,NA
Saudi Arabia,Eastern Mediterranean,34454.1957708412,841469,2417,NA,NA,NA,9646,28,NA,NA,NA
Azerbaijan,Europe,7770.594223351,836510,8250,NA,NA,NA,10353,102,NA,NA,NA
American Samoa,Western Pacific,18017.4589383973,8359,15144,NA,NA,NA,34,62,NA,NA,NA
Suriname,Americas,6084.43876736445,82508,14065,0,NA,0,1406,240,0,NA,0
New Caledonia,Western Pacific,33516.363085906,80203,28092,NA,NA,NA,314,110,NA,NA,NA
Tokelau,Western Pacific,NA,80,5926,NA,NA,NA,0,NA,NA,NA,NA
Sierra Leone,Africa,860.130884035452,7985,100,NA,NA,NA,125,2,NA,NA,NA
French Polynesia,Western Pacific,20738.6499971661,79451,28284,NA,NA,NA,650,231,NA,NA,NA
Liberia,Africa,744.617175237387,7932,157,NA,NA,NA,294,6,NA,NA,NA
Chad,Africa,671.720147647873,7702,47,NA,NA,NA,194,1,NA,NA,NA
British Virgin Islands,Americas,NA,7644,25280,NA,NA,NA,64,212,NA,NA,NA
Iran (Islamic Republic of),Eastern Mediterranean,4405.09291519791,7627863,9082,NA,NA,NA,146837,175,NA,NA,NA
Mexico,Americas,11385.4070757929,7622513,5912,NA,NA,NA,334818,260,NA,NA,NA
Eswatini,Africa,3852.08573272946,75356,6495,NA,NA,NA,1427,123,NA,NA,NA
Guyana,Americas,17913.4910146288,74580,9482,4,1,4,1303,166,0,NA,0
Cook Islands,Western Pacific,NA,7375,41989,NA,NA,NA,2,11,NA,NA,NA
Paraguay,Americas,6205.62595379319,735759,10316,NA,NA,NA,19880,279,NA,NA,NA
Belize,Americas,7068.45478269722,71432,17965,0,NA,0,688,173,NA,NA,NA
Cyprus,Europe,33938.9453125,712934,80285,NA,NA,NA,1364,154,NA,NA,NA
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,3799.95527015163,703228,13785,NA,NA,NA,5708,112,NA,NA,NA
Bahrain,Eastern Mediterranean,30616.2610677495,696614,40939,NA,NA,NA,1536,90,NA,NA,NA
Fiji,Western Pacific,5405.03007408295,69047,7702,NA,NA,NA,885,99,NA,NA,NA
Madagascar,Africa,497.242514792961,68673,248,2,NA,2,1428,5,NA,NA,NA
Turks and Caicos Islands,Americas,26802.0673752091,6846,17682,0,NA,0,40,103,0,NA,0
Indonesia,South-East Asia,4730.74548910499,6830269,2497,1,NA,1,162059,59,NA,NA,NA
Poland,Europe,18891.2121169279,6779881,17861,123,NA,123,121023,319,1,NA,1
Sao Tome and Principe,Africa,2389.73729784737,6771,3090,NA,NA,NA,80,37,NA,NA,NA
Sri Lanka,South-East Asia,3342.71989646203,672812,3142,NA,NA,NA,16907,79,NA,NA,NA
Kuwait,Eastern Mediterranean,40077.238047746,667290,15625,NA,NA,NA,2570,60,NA,NA,NA
Jersey,NA,NA,66391,61589,NA,NA,NA,161,149,NA,NA,NA
Dominican Republic,Americas,10109.5234003521,661103,6094,NA,NA,NA,4384,40,NA,NA,NA
Saint Kitts and Nevis,Americas,21011.5744209816,6607,12421,NA,NA,NA,46,86,NA,NA,NA
Republic of Moldova,Europe,5738.42473515618,650954,16137,4,NA,4,12284,305,0,NA,0
Cabo Verde,Africa,4323.31362665974,64474,11596,NA,NA,NA,417,75,NA,NA,NA
Myanmar,South-East Asia,1158.05005034332,643242,1182,NA,NA,NA,19494,36,NA,NA,NA
Sudan,Eastern Mediterranean,1046.24084472656,63993,146,NA,NA,NA,5046,12,NA,NA,NA
Colombia,Americas,6674.59601948063,6398251,12574,131,NA,131,142760,281,0,NA,0
Mauritania,Africa,1960.35240077424,63889,1374,NA,NA,NA,997,21,NA,NA,NA
Palau,Western Pacific,14392.1990258461,6372,35220,NA,NA,NA,10,55,NA,NA,NA
Bhutan,South-East Asia,3711.32767902157,62697,8125,NA,NA,NA,21,3,NA,NA,NA
Estonia,Europe,28451.1477825175,614539,46242,8,1,8,3148,237,1,NA,1
Austria,Europe,52176.6649141178,6083125,68342,0,NA,0,22534,253,NA,NA,NA
Greece,Europe,20971.8349258283,5770045,53832,688,6,688,40065,374,1,NA,1
Syrian Arab Republic,Eastern Mediterranean,1051.67149587463,57423,328,NA,NA,NA,3163,18,NA,NA,NA
Portugal,Europe,24620.519556875,5671586,55086,NA,NA,NA,29157,283,7,NA,7
Ukraine,Europe,4199.6708984375,5543381,12675,27,NA,27,109925,251,0,NA,0
Venezuela (Bolivarian Republic of),Americas,NA,552734,1944,0,NA,0,5856,21,NA,NA,NA
Saint Barth�lemy,NA,NA,5507,55711,NA,NA,NA,5,51,NA,NA,NA
Burundi,Africa,250.634225368744,54569,459,NA,NA,NA,15,NA,NA,NA,NA
Chile,Americas,15451.1319576678,5410148,28301,0,NA,0,62872,329,0,NA,0
Nauru,Western Pacific,13287.2711890938,5393,49778,NA,NA,NA,1,9,NA,NA,NA
Malaysia,Western Pacific,11748.0919307944,5329836,16467,NA,NA,NA,37351,115,NA,NA,NA
Guam,Western Pacific,41833.1517132825,52287,30980,NA,NA,NA,419,248,NA,NA,NA
Seychelles,Africa,17167.1909760833,51899,52771,NA,NA,NA,172,175,NA,NA,NA
Egypt,Eastern Mediterranean,4233.30783744856,516023,504,NA,NA,NA,24830,24,NA,NA,NA
Qatar,Eastern Mediterranean,88701.463350036,514524,17859,NA,NA,NA,690,24,NA,NA,NA
Kiribati,Western Pacific,2075.90844085067,5085,4257,NA,NA,NA,24,20,NA,NA,NA
Libya,Eastern Mediterranean,5986.63694851258,507269,7382,NA,NA,NA,6437,94,NA,NA,NA
Ethiopia,Africa,1011.0732858233,501317,436,NA,NA,NA,7574,7,NA,NA,NA
R�union,NA,NA,494595,55243,NA,NA,NA,921,103,NA,NA,NA
Gabon,Africa,8409.2074145028,49069,2205,NA,NA,NA,307,14,NA,NA,NA
Belgium,Europe,50807.2047084918,4896157,42492,NA,NA,NA,34339,298,NA,NA,NA
Thailand,South-East Asia,6909.35997481451,4883235,6996,69232,99,69232,34766,50,22,NA,22
Israel,Europe,54930.7261602593,4841558,55936,NA,NA,NA,12707,147,NA,NA,NA
Czechia,Europe,28282.2236715857,4831452,45179,83,1,83,43810,410,0,NA,0
Canada,Americas,55509.393176404,4819055,12768,NA,NA,NA,55282,146,NA,NA,NA
Andorra,Europe,42414.0590092117,48015,62143,NA,NA,NA,159,206,NA,NA,NA
Honduras,Americas,3003.28996826399,472921,4775,0,NA,0,11114,112,0,NA,0
Papua New Guinea,Western Pacific,3101.71063200047,46864,524,NA,NA,NA,670,7,NA,NA,NA
Cura�ao,Americas,NA,45883,27962,NA,NA,NA,305,186,NA,NA,NA
Armenia,Europe,6571.97445545099,454267,15330,NA,NA,NA,8785,296,NA,NA,NA
Peru,Americas,7363.27206939639,4532257,13746,4,NA,4,221055,670,0,NA,0
India,South-East Asia,2352.61392452078,45044786,3264,35,NA,35,533665,39,1,NA,1
Switzerland,Europe,93245.7952120851,4478424,51746,62,1,62,14170,164,NA,NA,NA
Aruba,Americas,30559.5335346581,44224,41421,NA,NA,NA,292,273,NA,NA,NA
United Republic of Tanzania,Africa,1207.85302734375,43439,73,NA,NA,NA,846,1,NA,NA,NA
Mayotte,NA,NA,42027,15405,NA,NA,NA,187,69,NA,NA,NA
Philippines,Western Pacific,3548.06930572116,4140383,3778,NA,NA,NA,66864,61,NA,NA,NA
South Africa,Africa,6523.41097815853,4072956,6867,0,NA,0,102595,173,NA,NA,NA
Bosnia and Herzegovina,Europe,7655.59421024383,404278,12322,NA,NA,NA,16406,500,NA,NA,NA
Pitcairn,NA,NA,4,8000,NA,NA,NA,0,NA,NA,NA,NA
Oman,Eastern Mediterranean,23665.6394740852,399449,7822,NA,NA,NA,4628,91,NA,NA,NA
Luxembourg,Europe,125006.021815486,397693,63518,31,5,31,1000,160,NA,NA,NA
Togo,Africa,898.758154410712,39551,478,NA,NA,NA,290,4,NA,NA,NA
Bahamas,Americas,33044.388209429,39127,9950,NA,NA,NA,849,216,NA,NA,NA
Anguilla,Americas,NA,3904,26023,NA,NA,NA,12,80,NA,NA,NA
France,Europe,41082.8119320747,39038973,60024,283,NA,283,168162,259,NA,NA,NA
Guinea,Africa,1416.59612011764,38586,294,NA,NA,NA,468,4,NA,NA,NA
Germany,Europe,49686.1154582583,38437864,46218,0,NA,0,174979,210,NA,NA,NA
Isle of Man,NA,NA,38008,44698,NA,NA,NA,116,136,NA,NA,NA
Brazil,Americas,9281.33334441234,37725166,17748,1777,1,1777,702820,331,5,NA,5
Wallis and Futuna,Western Pacific,NA,3760,33434,NA,NA,NA,9,80,NA,NA,NA
Lesotho,Africa,1029.99553333827,36138,1687,NA,NA,NA,709,33,NA,NA,NA
Romania,Europe,15557.8826247584,3569079,18465,51,NA,51,68964,357,0,NA,0
Guernsey,NA,NA,35326,54796,NA,NA,NA,67,104,NA,NA,NA
North Macedonia,Europe,7606.2375253797,352093,16900,NA,NA,NA,9991,480,NA,NA,NA
Brunei Darussalam,Western Pacific,36632.9280421411,350550,80130,NA,NA,NA,182,42,NA,NA,NA
Zambia,Africa,1447.12310138035,349892,1903,NA,NA,NA,4078,22,NA,NA,NA
Haiti,Americas,1760.62635668777,34785,305,0,NA,0,860,8,0,NA,0
Faroe Islands,NA,66108.733645837,34658,70926,NA,NA,NA,28,57,NA,NA,NA
Republic of Korea,Western Pacific,32394.6833725203,34571873,67432,NA,NA,NA,35934,70,NA,NA,NA
Denmark,Europe,68091.3191138669,3447490,59207,47,1,47,10012,172,NA,NA,NA
Kenya,Africa,2109.56288513137,344134,640,NA,NA,NA,5689,11,NA,NA,NA
Saint Pierre and Miquelon,NA,NA,3426,59120,NA,NA,NA,2,35,NA,NA,NA
Japan,Western Pacific,34017.2718075024,33803572,26727,NA,NA,NA,74694,59,NA,NA,NA
Albania,Europe,6846.42614266044,337196,11717,NA,NA,NA,3608,125,NA,NA,NA
Mauritius,Africa,10239.7970461095,332028,26108,2,NA,2,1074,84,NA,NA,NA
Mali,Africa,813.965034073188,33193,164,NA,NA,NA,743,4,NA,NA,NA
Botswana,Africa,8329.04032229144,330699,14063,NA,NA,NA,2801,119,NA,NA,NA
Micronesia (Federated States of),Western Pacific,3835.38184348074,31765,27616,NA,NA,NA,62,54,NA,NA,NA
Cayman Islands,Americas,92202.1478031576,31472,47888,NA,NA,NA,37,56,NA,NA,NA
Saint Lucia,Americas,13103.7621654634,30233,16464,0,NA,0,410,223,0,NA,0
Singapore,Western Pacific,88428.7024226232,3006155,51384,NA,NA,NA,2024,35,NA,NA,NA
Tuvalu,Western Pacific,5911.32727055301,2943,24958,NA,NA,NA,1,8,NA,NA,NA
Benin,Africa,1264.70765976655,28036,231,NA,NA,NA,163,1,NA,NA,NA
Sweden,Europe,55296.9371472535,2775320,26873,90,1,90,28765,279,6,NA,6
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,5290.94747224687,274279,15274,NA,NA,NA,3212,179,NA,NA,NA
Somalia,Eastern Mediterranean,573.128092470162,27334,172,NA,NA,NA,1361,9,NA,NA,NA
Algeria,Africa,4961.55257664733,272265,621,2,NA,2,6881,16,NA,NA,NA
Italy,Europe,35635.7442204098,26968605,45218,NA,NA,NA,198523,333,NA,NA,NA
Nigeria,Africa,2139.37478476974,267208,130,0,NA,0,3155,2,NA,NA,NA
New Zealand,Western Pacific,48216.5095836302,2668236,55332,NA,NA,NA,4538,94,NA,NA,NA
Zimbabwe,Africa,2040.55245910726,266424,1793,NA,NA,NA,5740,39,NA,NA,NA
Holy See,NA,NA,26,3214,NA,NA,NA,0,NA,NA,NA,NA
Solomon Islands,Western Pacific,2005.4139933198,25954,3779,NA,NA,NA,199,29,NA,NA,NA
Serbia,Europe,10022.9688543402,2567965,37073,0,NA,0,18057,261,NA,NA,NA
United States Virgin Islands,Americas,44320.909185774,25389,24313,NA,NA,NA,132,126,NA,NA,NA
San Marino,Europe,54264.570495898,25292,74524,NA,NA,NA,126,371,NA,NA,NA
Congo,Africa,2620.83804267402,25234,457,NA,NA,NA,389,7,NA,NA,NA
Montenegro,Europe,10093.4387007266,251280,40009,NA,NA,NA,2654,423,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,Europe,45935.9276473925,25045765,36894,1166,2,1166,232112,342,NA,NA,NA
Russian Federation,Europe,15445.2421875,24901467,17063,NA,NA,NA,404290,277,NA,NA,NA
Iraq,Eastern Mediterranean,6504.12428393548,2465545,6130,NA,NA,NA,25375,63,NA,NA,NA
Afghanistan,Eastern Mediterranean,357.261152798144,235214,604,NA,NA,NA,7998,21,NA,NA,NA
Timor-Leste,South-East Asia,2343.24524664152,23460,1779,NA,NA,NA,138,10,NA,NA,NA
Mozambique,Africa,578.251663751351,233908,748,1,NA,1,2252,7,NA,NA,NA
Martinique,NA,NA,230354,61384,NA,NA,NA,1104,294,NA,NA,NA
Hungary,Europe,18353.298364905,2238016,22908,NA,NA,NA,49124,503,NA,NA,NA
Burkina Faso,Africa,836.118304593682,22204,106,NA,NA,NA,400,2,NA,NA,NA
Lao People's Democratic Republic,Western Pacific,2046.40440255621,219060,3011,NA,NA,NA,671,9,NA,NA,NA
Saint Helena,NA,NA,2166,35678,NA,NA,NA,0,NA,NA,NA,NA
Liechtenstein,NA,186400.23376784,21618,55793,0,NA,0,89,230,0,NA,0
Iceland,Europe,75314.085560994,210792,57889,3,1,3,186,51,NA,NA,NA
Gibraltar,NA,NA,20550,60996,NA,NA,NA,113,335,NA,NA,NA
Bangladesh,South-East Asia,2716.48592677835,2051653,1246,NA,NA,NA,29499,18,NA,NA,NA
Guadeloupe,NA,NA,203235,50793,NA,NA,NA,1021,255,NA,NA,NA
El Salvador,Americas,5093.51833879776,202012,3114,0,NA,0,4230,65,NA,NA,NA
Grenada,Americas,10474.2652893842,19693,17501,NA,NA,NA,238,212,NA,NA,NA
Falkland Islands (Malvinas),NA,NA,1923,55211,NA,NA,NA,0,NA,NA,NA,NA
Trinidad and Tobago,Americas,22004.1997884125,191496,13683,NA,NA,NA,4390,314,NA,NA,NA
South Sudan,Africa,NA,18872,169,NA,NA,NA,147,1,NA,NA,NA
Bermuda,Americas,120897.311155385,18860,30286,NA,NA,NA,165,265,NA,NA,NA
Slovakia,Europe,21342.7666714692,1885974,34555,5,NA,5,21282,390,NA,NA,NA
Maldives,South-East Asia,11786.0091545343,186694,34538,NA,NA,NA,316,58,NA,NA,NA
Georgia,Europe,6729.84659930283,1864383,46736,0,NA,0,17151,430,NA,NA,NA
Tajikistan,Europe,1052.17949484894,17786,186,NA,NA,NA,125,1,NA,NA,NA
Ireland,Europe,106194.755859223,1754401,35339,147,3,147,9803,197,NA,NA,NA
Uzbekistan,Europe,2578.66689394219,175082,523,NA,NA,NA,1016,3,NA,NA,NA
Jordan,Eastern Mediterranean,4332.25159897931,1746997,17122,NA,NA,NA,14122,138,NA,NA,NA
Namibia,Africa,4349.04532248966,172557,6791,NA,NA,NA,4110,162,NA,NA,NA
Ghana,Africa,2240.27945094566,172404,555,8,NA,8,1463,5,NA,NA,NA
Uganda,Africa,963.067314117178,172175,376,NA,NA,NA,3632,8,NA,NA,NA
Monaco,Europe,226052.001905201,17181,43780,NA,NA,NA,67,171,NA,NA,NA
Equatorial Guinea,Africa,7589.29964909381,17130,1221,NA,NA,NA,183,13,NA,NA,NA
Samoa,Western Pacific,3869.46639492144,17057,8597,NA,NA,NA,31,16,NA,NA,NA
T�rkiye,Europe,NA,17004713,20162,0,NA,0,101419,120,NA,NA,NA
Tonga,Western Pacific,4933.07479143113,16992,16076,NA,NA,NA,13,12,NA,NA,NA
Nicaragua,Americas,2325.16737851871,16312,246,1,NA,1,245,4,NA,NA,NA
Marshall Islands,Western Pacific,6322.82855503156,16297,27532,NA,NA,NA,17,29,NA,NA,NA
Dominica,Americas,9085.67412772363,16047,22290,NA,NA,NA,74,103,NA,NA,NA
Pakistan,Eastern Mediterranean,1538.3228133171,1580631,716,NA,NA,NA,30656,14,NA,NA,NA
Jamaica,Americas,6022.15341099999,157455,5317,11,NA,11,3624,122,0,NA,0
Djibouti,Eastern Mediterranean,3231.30015326477,15690,1588,NA,NA,NA,189,19,NA,NA,NA
Central African Republic,Africa,467.359825026238,15472,320,NA,NA,NA,113,2,NA,NA,NA
Norway,Europe,108798.451165901,1536481,28625,141,3,141,5732,107,NA,NA,NA
Finland,Europe,50438.4753952355,1511989,27365,40,1,40,11466,208,NA,NA,NA
Kazakhstan,Europe,11255.3396437881,1504370,8012,NA,NA,NA,19072,102,NA,NA,NA
Northern Mariana Islands,Western Pacific,23785.754590043,14985,26035,NA,NA,NA,41,71,NA,NA,NA
Lithuania,Europe,25085.784063499,1425308,51012,132,5,132,9884,354,0,NA,0
Montserrat,Americas,NA,1403,28066,NA,NA,NA,8,160,NA,NA,NA
Spain,Europe,30287.3657583614,13980340,29536,NA,NA,NA,121852,257,NA,NA,NA
Cambodia,Western Pacific,2325.03050040841,139326,833,NA,NA,NA,3056,18,NA,NA,NA
Slovenia,Europe,28373.8382265999,1363221,65043,7,NA,7,9914,473,NA,NA,NA
Croatia,Europe,18466.0955472648,1356861,33435,35,1,35,18784,463,0,NA,0
Bulgaria,Europe,13644.201582807,1338423,19254,8,NA,8,38765,558,NA,NA,NA
Rwanda,Africa,975.469315871749,133268,1029,NA,NA,NA,1468,11,NA,NA,NA
Morocco,Eastern Mediterranean,3455.39624023438,1279115,3465,NA,NA,NA,16305,44,NA,NA,NA
Gambia,Africa,836.244875868476,12627,522,NA,NA,NA,372,15,NA,NA,NA
Cameroon,Africa,1604.87726954895,125299,472,5,NA,5,1974,7,NA,NA,NA
Puerto Rico,Americas,35268.0791015719,1252713,43788,NA,NA,NA,5938,208,NA,NA,NA
Guatemala,Americas,5358.08963795,1252331,6990,123,1,123,20203,113,0,NA,0
Lebanon,Eastern Mediterranean,3654.35845534878,1239904,18166,NA,NA,NA,10947,160,NA,NA,NA
Costa Rica,Americas,13625.9008491328,1237232,24287,0,NA,0,9379,184,0,NA,0
Malta,Europe,36142.2058531852,123697,24039,9,2,9,1019,198,NA,NA,NA
Saint Martin (French part),NA,NA,12324,31879,NA,NA,NA,46,119,NA,NA,NA
Bolivia (Plurinational State of),Americas,3643.92826968677,1212172,10384,0,NA,0,22389,192,0,NA,0
Vanuatu,Western Pacific,3265.39645133096,12019,3913,NA,NA,NA,14,5,NA,NA,NA
Greenland,Europe,NA,11971,21086,NA,NA,NA,21,37,NA,NA,NA
Yemen,Eastern Mediterranean,615.70207931388,11945,40,NA,NA,NA,2159,7,NA,NA,NA
"Bonaire, Saint Eustatius and Saba",Americas,NA,11922,NA,NA,NA,NA,41,NA,NA,NA,NA
Australia,Western Pacific,64997.0136536475,11861161,46515,NA,NA,NA,25236,99,NA,NA,NA
Viet Nam,Western Pacific,4116.38576094153,11624000,11942,NA,NA,NA,43206,44,NA,NA,NA
Tunisia,Eastern Mediterranean,3678.40023411347,1153361,9759,NA,NA,NA,29423,249,NA,NA,NA
Cuba,Americas,NA,1113670,9832,0,NA,0,8530,75,NA,NA,NA
Sint Maarten (Dutch part),Americas,36476.6300833859,11051,25771,NA,NA,NA,92,215,NA,NA,NA
Niue,Western Pacific,NA,1092,67491,NA,NA,NA,0,NA,NA,NA,NA
Barbados,Americas,22164.0260273876,108841,37874,0,NA,0,593,206,NA,NA,NA
Ecuador,Americas,6540.99824522101,1080113,6122,14,NA,14,36058,204,0,NA,0
Angola,Africa,2929.69445467272,107487,327,NA,NA,NA,1937,6,NA,NA,NA
United Arab Emirates,Eastern Mediterranean,49899.0652978649,1067030,10789,NA,NA,NA,2349,24,NA,NA,NA
Panama,Americas,17332.4360742988,1045406,24229,0,NA,0,8788,204,NA,NA,NA
Uruguay,Americas,20691.9738991763,1042778,30019,3,NA,3,7695,222,0,NA,0
United States of America,Americas,78035.1753604212,103436829,31250,NA,NA,NA,1223553,370,201,NA,201
Eritrea,Africa,NA,10189,287,NA,NA,NA,103,3,NA,NA,NA
Mongolia,Western Pacific,4993.51487463495,1011489,30854,NA,NA,NA,2136,65,NA,NA,NA
Argentina,Americas,13935.6811110049,10112477,22375,62,NA,62,130755,289,1,NA,1
Democratic Republic of the Congo,Africa,642.612265820033,101007,113,1,NA,1,1474,2,NA,NA,NA
Nepal,South-East Asia,1385.91066275016,1003450,3444,NA,NA,NA,12031,41,NA,NA,NA
Democratic People's Republic of Korea,South-East Asia,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Turkmenistan,Europe,8156.35211950774,0,NA,NA,NA,NA,0,NA,NA,NA,NA
